id;Gender;Age;Driving_License;Region_Code;Previously_Insured;Vehicle_Age;Vehicle_Damage;Annual_Premium;Policy_Sales_Channel;Vintage
57782;Female;34;1;39.0;1;1-2 Year;No;38244;124.0;146
286811;Female;55;1;28.0;0;> 2 Years;Yes;37577;122.0;109
117823;Male;39;1;28.0;1;1-2 Year;No;24578;26.0;63
213992;Male;28;1;50.0;1;1-2 Year;No;40507;8.0;129
324756;Female;24;1;10.0;0;< 1 Year;Yes;36783;152.0;201
425764;Male;33;1;8.0;1;< 1 Year;No;55980;152.0;274
2934;Male;50;1;18.0;0;1-2 Year;Yes;36100;26.0;92
99098;Male;55;1;47.0;0;1-2 Year;Yes;21857;26.0;87
120076;Male;60;1;28.0;1;1-2 Year;Yes;37726;122.0;214
272687;Male;44;1;35.0;1;1-2 Year;No;28932;26.0;12
267856;Male;49;1;28.0;0;1-2 Year;Yes;37498;26.0;46
72816;Female;23;1;35.0;1;< 1 Year;No;34861;152.0;109
333425;Female;25;1;47.0;1;< 1 Year;No;25724;152.0;91
340300;Male;45;1;3.0;0;1-2 Year;Yes;21214;26.0;31
109149;Female;23;1;12.0;1;< 1 Year;No;33535;26.0;21
56564;Female;22;1;15.0;1;< 1 Year;No;28527;152.0;62
327695;Male;34;1;36.0;1;1-2 Year;No;31551;26.0;18
121415;Male;57;1;8.0;0;1-2 Year;Yes;35179;26.0;193
135475;Male;22;1;46.0;1;< 1 Year;No;21982;152.0;72
123111;Female;24;1;9.0;0;< 1 Year;Yes;43300;151.0;127
470502;Female;60;1;28.0;1;1-2 Year;No;37707;26.0;177
289863;Female;23;1;18.0;0;< 1 Year;Yes;36304;152.0;160
366881;Female;20;1;46.0;1;< 1 Year;Yes;33904;160.0;128
234722;Male;49;1;29.0;0;1-2 Year;Yes;45475;154.0;192
145030;Female;31;1;30.0;1;< 1 Year;No;26975;152.0;278
247634;Male;49;1;28.0;0;1-2 Year;Yes;48636;124.0;101
334223;Female;23;1;10.0;1;< 1 Year;No;27861;152.0;140
219786;Male;67;1;50.0;0;1-2 Year;Yes;29240;8.0;221
215693;Female;24;1;3.0;1;< 1 Year;No;25508;152.0;149
15508;Male;23;1;6.0;1;< 1 Year;No;21573;152.0;263
471471;Male;25;1;30.0;1;< 1 Year;No;26863;152.0;278
477820;Female;51;1;28.0;0;1-2 Year;Yes;54197;26.0;165
44423;Male;40;1;28.0;1;1-2 Year;No;47313;26.0;246
290504;Female;25;1;12.0;1;< 1 Year;No;29741;152.0;131
19435;Female;23;1;30.0;1;< 1 Year;No;25569;152.0;194
233561;Male;22;1;15.0;1;< 1 Year;No;32382;152.0;20
210794;Male;51;1;8.0;0;1-2 Year;Yes;37476;4.0;216
290763;Female;20;1;22.0;0;< 1 Year;Yes;28393;160.0;152
164680;Male;47;1;28.0;0;1-2 Year;Yes;39441;26.0;138
481448;Female;27;1;30.0;1;< 1 Year;No;26266;152.0;165
380926;Male;74;1;28.0;1;1-2 Year;No;33009;26.0;207
361941;Male;39;1;28.0;1;1-2 Year;No;28539;26.0;93
345676;Male;45;1;28.0;0;1-2 Year;Yes;44263;124.0;79
463955;Female;24;1;41.0;1;< 1 Year;No;31587;160.0;23
198974;Male;52;1;36.0;0;1-2 Year;Yes;31886;26.0;207
225389;Female;43;1;28.0;1;1-2 Year;No;38072;122.0;171
108177;Female;62;1;28.0;0;> 2 Years;Yes;44076;124.0;230
423589;Male;33;1;6.0;1;< 1 Year;No;25245;152.0;212
